,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
430,College,US,64.86,-147.8,66.58,48,40,3.29
431,Kavieng,PG,-2.57,150.8,80.87,79,4,7.31
432,Balabac,PH,7.99,117.06,77.79,90,100,13.73
433,Kologriv,RU,58.83,44.32,44.71,86,0,5.77
434,Vostok,RU,46.49,135.88,59.2,100,85,3.22
435,Kailua,US,21.4,-157.74,81.03,61,75,14.99
436,Tiksi,RU,71.69,128.87,38.66,88,100,12.75
437,Hanawa,JP,40.18,140.79,65.52,87,17,2.13
438,Hammerfest,NO,70.66,23.68,48.2,100,75,14.99
439,Japura,ID,-0.32,102.35,74.26,89,79,1.74
440,Skagen,DK,57.72,10.58,70.21,85,100,3.0
441,Yumen,CN,40.28,97.2,65.17,25,5,7.81
442,Imbituba,BR,-28.24,-48.67,66.2,93,75,6.93
443,Nabire,ID,-3.37,135.48,74.77,89,98,3.85
444,Guarujá,BR,-23.99,-46.26,70.66,88,20,3.36
445,Karratha,AU,-20.74,116.85,66.24,35,46,14.43
446,Sinnamary,GF,5.38,-52.95,83.14,72,1,11.25
447,Taksimo,RU,56.34,114.88,45.5,67,0,0.76
448,Nesterov,RU,54.63,22.57,61.43,93,49,9.01
449,Xique-Xique,BR,-10.82,-42.73,85.77,37,9,13.85
450,Yangi Marg`ilon,UZ,40.43,71.72,66.2,72,63,2.24
451,Najrān,SA,17.49,44.13,91.4,18,40,10.92
452,Portland,US,45.52,-122.68,77.88,53,20,10.29
453,Gao,ML,16.64,1.64,99.37,12,0,4.61
454,Mizdah,LY,31.45,12.98,87.08,25,6,8.66
455,Horki,BY,54.29,30.98,62.98,90,100,8.19
456,Vestmannaeyjar,IS,63.44,-20.27,53.31,85,63,22.1
457,Khasan,RU,42.43,130.64,72.91,91,0,4.18
458,Monrovia,LR,6.3,-10.8,77.0,94,75,11.74
459,Chicama,PE,-7.84,-79.15,70.45,55,71,11.43
460,Valdivia,CL,-39.81,-73.25,48.2,70,75,9.17
461,Nemuro,JP,43.32,145.57,62.13,91,79,14.0
462,Melo,UY,-32.37,-54.18,64.6,72,44,6.13
463,Ati,TD,13.22,18.34,79.75,70,99,8.19
464,General Roca,AR,-39.03,-67.58,51.8,27,75,10.29
465,Lenughi,AM,40.13,43.96,71.6,46,1,11.41
466,Krasnovishersk,RU,60.41,57.08,48.18,96,100,6.13
467,Nayoro,JP,44.35,142.46,67.55,78,95,7.16
468,Khāsh,IR,28.22,61.22,73.44,24,6,4.59
469,Sisimiut,GL,66.94,-53.67,57.36,51,38,5.53
470,Bandarbeyla,SO,9.49,50.81,77.34,80,100,33.15
471,Camp Verde,US,34.56,-111.85,100.17,18,5,1.99
472,Cabo San Lucas,MX,22.89,-109.91,91.56,36,75,9.17
473,Cabra,ES,37.47,-4.44,84.0,34,34,0.6
474,Valentín Gómez Farías,MX,28.22,-106.58,76.89,38,100,16.24
475,Province of Groningen,NL,53.25,6.75,62.96,93,48,3.36
476,Mielec,PL,50.29,21.42,66.0,88,100,1.01
477,Ust'-Barguzin,RU,53.45,108.98,52.81,68,96,5.75
478,Paamiut,GL,61.99,-49.67,47.97,70,0,3.96
479,Saint-Ambroise,CA,48.55,-71.33,65.14,77,75,8.05
480,Sindor,RU,62.86,51.89,46.31,97,100,10.36
481,Porterville,US,36.07,-119.02,97.25,37,1,5.82
482,Maniitsoq,GL,65.42,-52.9,55.72,58,0,8.21
483,Poum,NC,-20.23,164.02,69.08,68,28,11.9
484,Qasigiannguit,GL,68.82,-51.19,51.8,46,75,4.7
485,Hambantota,LK,6.12,81.12,79.27,82,77,15.66
486,Sardārshahr,IN,28.43,74.48,91.62,52,100,10.89
487,São Miguel do Araguaia,BR,-13.28,-50.16,98.17,18,99,6.42
488,Kropotkin,RU,45.44,40.58,70.38,36,0,4.0
489,Camacupa,AO,-12.02,17.48,66.07,25,1,1.74
490,Bocas del Toro,PA,9.33,-82.25,71.01,76,100,5.99
491,Ribeira Grande,PT,38.52,-28.7,75.2,94,75,26.4
492,Marsh Harbour,BS,26.54,-77.06,85.39,65,47,4.59
493,Igualada,ES,41.58,1.62,75.56,53,100,1.01
494,Pokosnoye,RU,55.53,101.05,52.11,78,95,4.56
495,Yar-Sale,RU,66.83,70.83,56.55,76,92,10.47
496,Barinas,VE,8.62,-70.21,81.14,84,100,2.8
497,Yurgamysh,RU,55.37,64.47,50.14,93,100,12.33
498,Zhangaözen,KZ,43.3,52.8,69.8,58,0,8.72
499,Caceres,ES,39.52,-6.37,81.0,34,1,7.0
500,Barra do Garças,BR,-15.89,-52.26,99.16,14,0,8.55
501,Zaozhuang,CN,34.86,117.55,78.6,91,13,2.3
502,Verkhneural'sk,RU,53.88,59.21,48.2,70,40,11.18
503,Ixtapa,MX,20.7,-105.2,82.2,78,90,1.39
504,Birin,NP,26.89,88.07,65.25,100,74,2.15
505,Huarmey,PE,-10.07,-78.15,67.01,65,3,12.75
506,Pāveh,IR,35.04,46.36,77.0,22,0,4.7
507,Tura,IN,25.52,90.22,74.66,94,29,4.83
508,Tumaco,CO,1.8,-78.82,80.98,72,84,14.54
509,Tautira,PF,-17.73,-149.15,82.4,61,20,2.24
510,Villarrica,PY,-25.75,-56.43,72.36,82,68,4.54
511,Port Moresby,PG,-9.44,147.18,71.6,94,75,3.36
512,Storforshei,NO,66.4,14.52,50.45,87,66,1.12
513,Mayo,US,38.89,-76.51,84.06,48,1,5.82
514,Great Yarmouth,GB,52.61,1.73,66.38,91,18,3.0
515,Hof,DE,50.32,11.92,60.69,82,2,4.0
516,Corinth,GR,37.94,22.96,78.01,54,0,1.01
517,Roald,NO,62.58,6.13,63.66,88,1,4.7
518,Port Blair,IN,11.67,92.75,82.24,79,100,13.58
519,Urman,RU,54.88,56.87,44.76,95,16,6.15
520,Siuna,NI,13.73,-84.78,87.28,69,16,4.9
521,Guanajay,CU,22.93,-82.69,73.4,100,90,12.75
522,Afşin,TR,38.25,36.91,56.05,50,0,2.26
523,Trelew,AR,-43.25,-65.31,42.64,59,90,28.59
524,Prince Rupert,CA,54.32,-130.32,62.6,72,1,6.93
525,Half Moon Bay,US,37.46,-122.43,77.56,72,1,13.87
526,Edd,ER,13.93,41.69,91.27,61,100,6.24
527,Fagersta,SE,60.0,15.79,63.88,64,100,4.7
528,Gulu,UG,2.77,32.3,66.97,95,100,2.33
529,Sabzawār,IR,36.21,57.68,70.05,30,0,10.78
530,Agulu,NG,6.11,7.07,82.4,83,75,2.24
531,Umm Kaddadah,SD,13.6,26.69,81.72,61,99,6.71
532,Taganak,PH,6.08,118.3,78.42,94,20,2.24
533,Bandundu Province,CD,-3.32,17.37,84.56,51,4,3.94
534,Amqui,CA,48.46,-67.43,64.65,100,90,4.7
535,Yura,PE,-16.25,-71.68,64.4,16,6,10.29
536,Bulgan,MN,48.81,103.53,47.98,80,66,1.5
537,Tarauacá,BR,-8.16,-70.77,94.12,40,39,5.12
538,Opuwo,NA,-18.06,13.84,58.42,24,0,8.19
539,Oranjemund,NA,-28.55,16.43,54.07,65,73,18.54
540,Ürümqi,CN,43.8,87.6,69.8,64,40,11.18
541,Griffin,US,33.25,-84.26,87.89,45,40,4.7
542,Khor,RU,47.89,134.95,57.65,96,49,9.01
543,Melito di Porto Salvo,IT,37.92,15.77,79.18,69,0,10.29
544,Constantine,DZ,36.37,6.61,78.8,34,40,10.29
545,Balibago,PH,15.16,120.6,77.47,94,40,1.12
546,Maxixe,MZ,-23.86,35.35,71.28,94,20,17.22
547,Lima,PE,-12.04,-77.03,62.6,77,90,10.29
548,Port-Gentil,GA,-0.72,8.78,75.2,94,90,16.15
